lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,step,micro@P,micro@R,micro@F1,macro@P,macro@R,macro@F1,MD@R,MD@P,MD@F1,ALLTRUE,ALLRECALLED,ALLPRED,loss,epoch,val_micro@P,val_micro@R,val_micro@F1,val_macro@P,val_macro@R,val_macro@F1,val_MD@R,val_MD@P,val_MD@F1,val_ALLTRUE,val_ALLRECALLED,val_ALLPRED,val_loss
,,,,,,43,,,,,,,,,,,,,,,0.9785103797912598,0.9820460677146912,0.98027503490448,0.954114556312561,0.959973931312561,0.9570325016975403,0.984078586101532,0.9805355668067932,0.9823038578033447,8856.0,8715.0,8888.0,11.220101356506348
,,,,,,44,,,,,,,,,,,,,,,0.977938711643219,0.9819869995117188,0.979958713054657,0.9538882374763489,0.9601956009864807,0.9570289850234985,0.9840009212493896,0.9799442887306213,0.9819684028625488,8938.0,8795.0,8975.0,4.185243606567383
,,,,,,45,,,,,,,,,,,,,,,0.9771422147750854,0.9811509251594543,0.9791424870491028,0.9516104459762573,0.9581272006034851,0.9548542499542236,0.9832575917243958,0.9792402982711792,0.9812448024749756,9019.0,8868.0,9056.0,4.698632717132568
,,,,,,46,,,,,,,,,,,,,,,0.9763054251670837,0.9806082248687744,0.9784520864486694,0.9508472084999084,0.9576608538627625,0.9542380571365356,0.9828118085861206,0.9784993529319763,0.9806508421897888,9076.0,8920.0,9116.0,7.179165840148926
,,,,,,47,,,,,,,,,,,,,,,0.9758511781692505,0.980437159538269,0.97813880443573,0.9506013989448547,0.957494854927063,0.9540325999259949,0.9826229214668274,0.9780267477035522,0.9803194403648376,9150.0,8991.0,9193.0,5.192112445831299
,,,,,,48,,,,,,,,,,,,,,,0.9749945998191833,0.979534387588501,0.9772592186927795,0.9488652944564819,0.9568183422088623,0.9528189301490784,0.9822414517402649,0.9776891469955444,0.979960024356842,9235.0,9071.0,9278.0,8.736123085021973
,,,,,,49,,,,,,,,,,,,,,,0.9741231799125671,0.9791487455368042,0.9766294956207275,0.9480915069580078,0.9550001621246338,0.9515312910079956,0.9818357825279236,0.9767963886260986,0.979309618473053,9304.0,9135.0,9352.0,5.754945278167725
,,,,,,50,,,,,,,,,,,,,,,0.9732484221458435,0.9783374071121216,0.9757862687110901,0.9429704546928406,0.9484326839447021,0.9456924200057983,0.9810052514076233,0.9759023189544678,0.9784471392631531,9371.0,9193.0,9420.0,5.685519695281982
,,,,,,51,,,,,,,,,,,,,,,0.9730100035667419,0.978166401386261,0.9755814075469971,0.9428704380989075,0.9484508633613586,0.9456507563591003,0.980816125869751,0.9756457805633545,0.9782240986824036,9435.0,9254.0,9485.0,3.8375301361083984
,,,,,,52,,,,,,,,,,,,,,,0.9724751710891724,0.9774879217147827,0.9749751091003418,0.9425672292709351,0.9466593265533447,0.9446050524711609,0.9803282022476196,0.9753009080886841,0.9778081178665161,9506.0,9319.0,9555.0,9.600831031799316
,,,,,,53,,,,,,,,,,,,,,,0.9720490574836731,0.9769214987754822,0.9744791388511658,0.9424564242362976,0.944943368434906,0.9436907172203064,0.9798454642295837,0.9749584197998047,0.9773958325386047,9576.0,9383.0,9624.0,5.486171722412109
,,,,,,54,,,,,,,,,,,,,,,0.9714197516441345,0.9755465984344482,0.9734787940979004,0.9420883655548096,0.9439780116081238,0.943026065826416,0.97855144739151,0.9744119048118591,0.9764772653579712,9651.0,9444.0,9692.0,10.155019760131836
,,,,,,55,,,,,,,,,,,,,,,0.9711183905601501,0.9750128388404846,0.973061740398407,0.9423346519470215,0.9440605044364929,0.9431910514831543,0.9779948592185974,0.9740884900093079,0.9760377407073975,9725.0,9511.0,9764.0,4.413784027099609
,,,,,,56,,,,,,,,,,,,,,,0.9706001877784729,0.9744663238525391,0.972529411315918,0.9420315027236938,0.9424571394920349,0.9422319531440735,0.9775303602218628,0.9736520648002625,0.9755873680114746,9791.0,9571.0,9830.0,7.141664505004883
,,,,,,57,,,,,,,,,,,,,,,0.9697275757789612,0.9738548994064331,0.9717868566513062,0.9398479461669922,0.9406042098999023,0.9402124285697937,0.9769963622093201,0.9728556871414185,0.9749216437339783,9868.0,9641.0,9910.0,7.492183685302734
,,,,,,58,,,,,,,,,,,,,,,0.9691413640975952,0.9731388092041016,0.9711359739303589,0.9393349885940552,0.9386521577835083,0.9389715790748596,0.97635817527771,0.9723474383354187,0.9743486642837524,9940.0,9705.0,9981.0,7.563783645629883
,,,,,,59,,,,,,,,,,,,,,,0.9689521193504333,0.9731161594390869,0.9710296392440796,0.9392032027244568,0.9385941028594971,0.9388766288757324,0.9763141870498657,0.9721365571022034,0.974220871925354,10006.0,9769.0,10049.0,2.4693117141723633
,,,,,,60,,,,,,,,,,,,,,,0.9686666131019592,0.9731876850128174,0.9709218740463257,0.9392758011817932,0.9390125274658203,0.9391210675239563,0.9763654470443726,0.9718295931816101,0.9740922451019287,10070.0,9832.0,10117.0,4.730729579925537
,,,,,,61,,,,,,,,,,,,,,,0.9686182141304016,0.9731034636497498,0.9708556532859802,0.9391958117485046,0.9389036893844604,0.9390267729759216,0.9762561321258545,0.9717563986778259,0.9740011096000671,10150.0,9909.0,10197.0,1.1635627746582031
,,,,,,62,,,,,,,,,,,,,,,0.9681813716888428,0.9726295471191406,0.970400333404541,0.9391761422157288,0.938924252986908,0.9390272498130798,0.9757575988769531,0.9712951183319092,0.9735212326049805,10230.0,9982.0,10277.0,8.794132232666016
